ID;Anwesend;"Wie hat Ihnen die heutige Unterrichtssequenz gefallen? (1 = gar nicht; 5 = sehr)";Welche Themen haben Sie heute alle bearbeiten können?;"Wie sehr trauen Sie sich zu, die heutigen Inhalte jemand anderem zu klären? (1 = gar nicht; 5 = easy-peasy)";Wie viele der Processing-Progrämmchen haben Sie selbst verändert?;Weshalb kann ein Prozessor ein Processing-Programm nicht ohne Übersetzung ausführen?;Was machen Lexer und Parser?;"Wie gut hat die Lernumgebung für Sie funktioniert? (1 = gar nicht; 5 = problemlos)";Was hat Ihnen an der Lernumgebung gefallen?;Welche Änderungen an der Lernumgebung wünschen Sie sich für die nächste Klasse?;"Wie hilfreich fanden Sie die Nebeneinanderstellungen der unterschiedlichen Schritte beim Ausführen/Übersetzen eines Programms? (1 = weglassen; 5 = bitte mehr davon)";Beschreiben Sie in eigenen Worten: Wie wird ein Programm in einer Hochsprache wie Processing für den Prozessor aufbereitet?;Was hatte das heutige Thema mit Codierung und was mit Programmieren zu tun?;Was war für Sie das Highlight vom Informatik-Unterricht? (Was hat Ihnen am meisten Eindruck gemacht?);"Was ist Ihnen vom Informatik-Unterricht alles geblieben (einige Stichworte zum Stoff)?
";"Was hat Ihnen am Informatik-Unterricht gefallen?
";Welche Änderungen wünschen Sie sich fürs kommende Schuljahr in Informatik?
1;x;4;"Arbeiten mit Glamorous Toolkit;Human Resource Machine (aus Maschinensprache und Prozessor);Lexer und Parser;";2;Zwei bis drei;Weil der Prozessor nur Maschinensprache versteht, nicht die Programmiersprache.;Der Lexer zerlegt den Code in Tokens, der Parser prüft die Struktur und Grammatik.;4;Die klare Struktur;weniger Theorie auf einmal;3;Der Code wird zuerst vom Compiler in Maschinensprache übersetzt, damit der Prozessor ihn verstehen und ausführen kann.;Es zeigte, wie Code in verständlicher Form geschrieben und dann in Maschinensprache umgewandelt wird, etwas wichtiges im Programmieren;das programmieren, fand ich spannend;nachhaltige digitalsierung und ein paar wörter vom processing wie rect, eclipse, usw.;am computer arbeiten;das wir mehr gruppenarbeiten machen.
2;x;3;"Lexer und Parser;Arbeiten mit Glamorous Toolkit;Human Resource Machine (aus Maschinensprache und Prozessor);";1;Eines;Ich weis es nicht;Der Parser bestimmt die Struktur des Inhalts und der Lexer bestimmt, was im Programm steht.;2;Es ist sehr verständlich;Keine Verbesserungsvorschläge;5;Die Sprache wird für den Prozessor verständlich gemacht.;Dies ist der Zwischenschritt der zwischen schreiben und ausführen passiert. Was passiert nicht im Programm, sondern im Computer?;Das Programmieren hat mir am meisten spass gemacht. Dies ist etwas, was wir auch indirekt jeden Tag antreffen.;Programmieren, Verschlüsselung, Licht an/aus ;Der Unterricht war vielfältig, auch wenn wir für eine bestimmte Zeit immer ein einziges Thema hatten.;Keine Verbesserungsvorschläge
3;x;1;"Human Resource Machine (aus Maschinensprache und Prozessor);Arbeiten mit Glamorous Toolkit;Lexer und Parser;Transpiler und Compiler;";1;Keines;weiss ich nicht;vieles;2;keine ahnung;keine;3;weiss ich nicht;nichts;geheim texte verschlüsseln;wie man so texte entschlüsseln kann;;letzte woche nicht mehr arbeiten
4;x;4;"Lexer und Parser;Transpiler und Compiler;Human Resource Machine (aus Maschinensprache und Prozessor);Arbeiten mit Glamorous Toolkit;";3;Zwei bis drei;Der Prozessor weiss nicht wie das Processing-Programm strukturiert ist. ;Der Lexer bestimmt die einzelnen Token des  Programms. Der Parser bestimmt was für eine Art der Token ist.;2;Kühler als im Klassenzimmer;Die ganze Klasse beieinander;4;Der Lexer erkennt die Inhalte der Parser bestimmt deren Art. Die Inhalte werden vereinfacht und in Maschinensprache übersetzt und optimiert ;Das Spiel war das Programmieren und die Sequenz über den Prozessor hat mit der Codierung zu tun. ;Für mich ganz klar das Programmieren vor den Frühlingsferien mit Processing ;Chiffrierung, Processing, Byte, Bit, URL, digitale Nachhaltigkeit, Flussdiagrame, Kryptologie, Enigma ;Mir hat gefallen, dass es ein einfacher Einstig ins Fach Informatik war zu Beginn des Jahres. Habe mir ihn schwerer vorgestellt. ;Weiterhin viel Praxis und weniger Theorie 
5;x;3;"Lexer und Parser;Human Resource Machine (aus Maschinensprache und Prozessor);Arbeiten mit Glamorous Toolkit;";1;Zwei bis drei;Der Prozessor erkennt die Struktur nicht.;Ein Lexer ist der Inhalt, während der Parser der Inhalt bestimmt.;2;Wir konnten uns gegenseitig helfen, aber es war zu laut.;Leiser arbeiten. ;3;Der Prozessor muss die Struktur und Tokens erkennen, es muss auch übersetzt werden in einer Hochsprache.;"Zum Codieren gehört die Übersetzung in eine Hochsprache.
";Ich fand das Programmieren am besten, weil es sehr interessant war.;Digitale Nachhaltigkeit, Phython, Algorithmus;Es war sehr vielfaltig und hilfreich.;Keine
6;x;2;"Arbeiten mit Glamorous Toolkit;Human Resource Machine (aus Maschinensprache und Prozessor);Lexer und Parser;";2;Eines;Ein Prozessor kann ein Processing-Programm nicht direkt ausführen, weil er nur Maschinensprache versteht und das Programm zuerst in diese übersetzt werden muss.;Ein Lexer zerlegt den Quellcode in einzelne Tokens, und ein Parser analysiert diese Tokens, um die grammatikalische Struktur des Programms zu erkennen.;2;das es kühl war...;keine ;3;"Ein Programm in Processing wird zuerst in kleinere Bausteine zerlegt, dann seine Struktur überprüft, anschließend in eine Zwischensprache übersetzt und schließlich in Maschinensprache umgewandelt, die der Prozessor ausführen kann.
";"Das heutige Thema zeigt, wie Programmieren Hochsprachen verwendet, die durch Codierung in Maschinensprache übersetzt werden müssen, damit der Prozessor sie ausführen kann.
";Programmieren ;Programmiersprachen, Prossescing, Nachhaltigkeit, byte, bit, Pixel, Speicherformat ;;
7;x;3;"Arbeiten mit Glamorous Toolkit;Lexer und Parser;";2;Keines;Weil der Prozessor keinen Inahlt erkennt. ;Der Parser bestimmt die Struktur des Inhalts und der Lexer bestimmt was im Program steht.;4;Das wir an Spielen knobbeln konnten und dann dazu Fragen beantworten konnten.;Vielleicht noch ein anderes Program bearbeiten.;3;Um die Sprache zu übersetzen braucht man den Lexer, den Parser, den Compiler und den Optimierer;Dinge wie der Lexer haben eher was mit Programmen zu tun. Die anderen mit Codierung;Das programieren am Computer;Digitalisierte Nachhaltigkeit und nachhaltige Digitalisierung und einfaches Programieren;Die Vielfälltigkeit;Nichts wirklich grosses
8;x;3;"Arbeiten mit Glamorous Toolkit;Human Resource Machine (aus Maschinensprache und Prozessor);";2;Keines;;;2;Das es nicht so warm war und man konnte zusammen arbeiten;Das man mehr zusammen arbeiten kann;2;;Das „human ressources“ Speil, hatte z.B. mit Programmieren zu tun und der Resten mit Codieren;Das Programmieren am Computer (Processing), sachen selber machen;Vorallem Processing (also die Befehle wie size und eclipse und so);Das selbst am Computer arbeiten;Vielleicht mehr Teamarbeit
9;x;4;"Arbeiten mit Glamorous Toolkit;Human Resource Machine (aus Maschinensprache und Prozessor);Lexer und Parser;";4;Zwei bis drei;Er versteht die Struktur und die Programmiersprache nicht.;Der Lexer erkennt die einzelnen „Wörter“, der Parser erkennt die Art des Wortes (Zahl, Variable…);4;Es war ungezwungener und chilliger als im Klassenzimmer.;War in Ordnung so;3;Die Struktur des Programms und die Art der Inhalte werden bestimmt. Es wird vereinfacht, in Maschinensprache übersetzt und optimiert.;Im Spiel mussten wir programmieren. Die Sequenz über den Prozessor hatte mit Codierung zu tun.;Das Programmieren mit Processing;Chiffrierung, nachhaltige Digitalisierung, digitale Nachhaltigkeit, ASCII, Processing;Fast alle Themen, ausser das binäre Zählen und Excel.;Nichts, es war gut.
10;x;2;"Human Resource Machine (aus Maschinensprache und Prozessor);Arbeiten mit Glamorous Toolkit;Lexer und Parser;Transpiler und Compiler;Optimierer;";2;Eines;Weil der Computer nur die Hochsprache verstehen kann. ;Lexer zerlegt den Quellcode in Tokens, z.B. Symbole. Parser überprüft, ob die Tokens dem richtigen Syntax entsprechen.;5;Es war ruhig und wenn man arbeiten wollte, dann konnte man es auch.;keine;3;Der Code wird in Java-Code übersetzt, dann zum Java-Bytecode. Schliesslich wird der Code in Maschinensprache übersetzt, dieser wird ausgeführt.;Das ist alles, was im Hintergrund vom Processing geschieht. Somit kann man verstehen, was hinter den Kulissen des Computers geschieht.;Programmieren;Bytes und Bits, das Programmieren, Algorithmen und Suchmaschinen;;
11;x;2;"Arbeiten mit Glamorous Toolkit;Lexer und Parser;";2;Keines;Prozessor erkennt keine Struktur, Processing schon.;Der Parser bestimmt die Struktur des Inhalts, während der Lexer das beschreibt was im Programm steht.;3;Alles sehr gut verlinkt und ein gutes Inhaltsverzeichnis;Etwas unübersichtlich und Probleme wenn eine neue Seite neben der Eigentlichen erschienen ist;4;Das Übersetzen in eine neue Form wird mit den Schritten Lexer, Parser, Transpiler, Compiler und Optimierer. Dabei wird von den einzelnen Schritten bestimmte Dinge kontrolliert, wie die Struktur oder der Inhalt.;Dinge wie Parser etc. haben eher mit Programmieren zu tun, da sie auf die Struktur eines Programms eingehen, was für Processing notwendig ist;Digitale Nachhaltigkeit und das Umrechnen von Zahlen in Hexadezimal etc.;Digitale Nachhaltigkeit, Programmieren, Hexadezimal;"Das umrechnen von Byte etc.
Einfache Formen programmieren.
";Mehr auf den Aufbau eines Gerätes oder Computer eingehen
12;x;3;"Arbeiten mit Glamorous Toolkit;Lexer und Parser;Human Resource Machine (aus Maschinensprache und Prozessor);";2;Keines;;Lexer zerlegen Quellcode in Tokens. Parser überprüfen die Tokens und Ordnen sie;3;Die Umgebung war gut, weil sie etwas kühler war.;Vielleicht ruhigere Arbeitsumgebung;3;;;Das Thema Programmieren;Codierung, Binärsystem, Programmierbefehle, verschiedene Arten von Ordung;Die vielfältigen Themen;keine
13;x;3;"Arbeiten mit Glamorous Toolkit;Human Resource Machine (aus Maschinensprache und Prozessor);Lexer und Parser;";1;Eines;Prozessoren verstehen nur Maschinensprache. Irgendetwas mit Abstraktion.;Lexer zerlegt Quellcode in kleine Teile(Tokens). Parser überprüft und baut System.;3; ; ;4;;Man muss programmieren damit ein Programm ausgeführt wird. Codiert wird von normaler Sprache zu Sprache die der Computer versteht.;Das programmieren von einfachen Figuren.;Binärsystem, programmieren, Digitale Nachhaltigkeit.;Programmieren;.
14;x;2;"Arbeiten mit Glamorous Toolkit;Human Resource Machine (aus Maschinensprache und Prozessor);Lexer und Parser;";1;Eines;;;3;Es ist gut strukturiert.;Keine;2;;;Nachhaltige Digitalisierung;Programmieren & Codieren ;Abwechslungsreich ;Mehr Theorie
